# OpenSignals Text File Format. Version 1
# {"00:07:80:4B:3C:23": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:4B:3C:23", "device connection": "BTH00:07:80:4B:3C:23", "sampling rate": 1000, "resolution": [16, 16, 16, 16, 16, 16], "firmware version": 776, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2022-11-7", "time": "15:37:35.443", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["EMG", "EMG", "EMG", "EMG", "EMG", "EMG"], "label": ["CH1", "CH2", "CH3", "CH4", "CH5", "CH6"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3", "CH4", "CH5", "CH6"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["unknown", "dark_blue", "gray", "orange", "dark_blue", "dark_blue"]}}
# EndOfHeader
0	0	33039	32375	28503	32125	34382	34527	
1	0	33014	32839	30716	33135	32242	34229	
2	0	33023	32983	32450	34375	31315	34115	
3	0	32831	32239	32771	33463	31457	33927	
4	0	32536	31879	33063	32479	32055	34421	
5	0	32494	32325	33466	31718	32383	33639	
6	0	32299	32559	34311	32155	32628	33401	
7	0	32150	32871	34999	33039	32679	33507	
8	0	32034	32775	33796	31631	32647	36259	
9	0	31853	32446	31999	30655	32789	34285	
10	0	31757	32359	32087	31275	33215	32883	
11	0	31684	32655	31438	32967	32875	32367	
12	0	31762	33022	31434	35643	32095	30644	
13	0	31943	33567	31959	35772	31979	30186	
14	0	32078	34167	33307	34435	32959	28903	
15	0	32422	33767	34183	34767	33375	29435	
16	0	32895	32411	33401	34465	33063	30279	
17	0	33099	31822	32655	32431	33030	30595	
18	0	33531	32195	34267	32007	32903	32613	
19	0	33708	33531	34759	32407	33199	34807	
20	0	33765	33839	33495	32247	33511	34555	
21	0	33879	33207	33251	32253	32791	34347	
22	0	33911	32599	32051	32253	32261	33867	
23	0	33758	32195	31323	32122	31803	34030	
24	0	33455	31827	30023	32263	31695	34391	
25	0	33149	31711	30797	32437	32511	33303	
